Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
Apr 7,LAA,HOU,L1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,1.02,-0.107,.97,-0.06%,-0.78,0.00,0.00,DH P
Apr 8,LAA,HOU,L6-13,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,.222,1,.62,-0.016,.59,-0.01%,-0.46,5.00,6.20,DH
Apr 9,LAA,HOU,W2-0,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.077,.077,.077,.154,1,.81,-0.118,.73,-0.06%,-1.35,0.00,0.00,DH
Apr 10,LAA,HOU,L1-4,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.118,.118,.176,.294,1,1.13,-0.010,1.06,-0.01%,0.19,5.00,6.00,DH
Apr 11,LAA,MIA,W6-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.143,.143,.190,.333,1,.63,0.036,.49,0.02%,0.01,10.00,12.20,DH
Apr 12,LAA,MIA,W4-3,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,.160,.160,.200,.360,1,1.17,-0.070,.95,-0.03%,-0.53,3.00,3.00,DH
Apr 14,LAA,TEX,L5-10,CG,5,4,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.172,.200,.241,.441,1,.63,-0.041,.61,-0.02%,0.15,9.00,12.20,DH P
Apr 15,LAA,TEX,W9-6,CG,5,5,2,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,.206,.229,.441,.670,1,.73,0.226,.69,0.13%,2.15,30.00,40.90,DH
Apr 16,LAA,TEX,W7-2,CG,5,5,3,2,0,0,1,3,0,0,1,0,0,0,1,0,1,0,.231,.250,.513,.763,1,1.11,0.165,1.11,0.10%,2.26,30.00,41.10,DH
Apr 17,LAA,TEX,W8-3,CG,5,5,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,.227,.244,.477,.722,1,.83,0.064,.84,0.04%,0.54,7.00,9.70,DH
Apr 18,LAA,HOU,L3-8,CG,4,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.234,.265,.468,.733,1,1.36,0.033,1.48,0.02%,0.22,5.00,6.00,DH
Apr 19,LAA,HOU,W7-2,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.216,.259,.431,.691,1,.56,-0.015,.62,-0.01%,-0.65,2.00,3.00,DH
Apr 20,LAA,HOU,W6-0,CG,5,4,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.236,.288,.455,.743,1,.50,0.108,.55,0.07%,2.01,16.00,22.20,DH P
Apr 22,LAA,BAL,L3-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.220,.270,.424,.694,1,1.14,-0.152,1.23,-0.10%,-1.07,0.00,0.00,DH
Apr 23,LAA,BAL,L4-5,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.206,.265,.397,.662,1,1.78,-0.116,1.91,-0.08%,-1.02,7.00,9.00,DH
Apr 24,LAA,BAL,W7-6,CG,5,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.239,.301,.418,.719,1,.56,0.089,.56,0.06%,0.56,15.00,18.40,DH
Apr 25,LAA,CLE,W3-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.225,.286,.394,.680,2,.47,-0.047,.50,-0.03%,-0.56,0.00,0.00,DH
Apr 26,LAA,CLE,W4-1,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.227,.284,.387,.671,2,.47,-0.037,.50,-0.02%,-0.55,5.00,6.20,DH
Apr 27,LAA,CLE,W9-5,CG,5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.302,.413,.715,2,.40,-0.012,.44,-0.01%,0.92,15.00,18.70,DH P
Apr 29,LAA,CHW,W5-1,CG,5,5,3,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,.259,.308,.447,.755,4,.58,0.064,.67,0.05%,0.44,26.00,34.10,DH
Apr 30,LAA,CHW,L0-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.247,.295,.427,.722,4,.51,-0.054,.60,-0.04%,-0.71,0.00,0.00,DH
May 1,LAA,CHW,W6-5,GS-9,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.239,.293,.413,.706,3,.83,-0.016,.98,-0.01%,-1.66,4.00,6.50,DH
May 2,LAA,CHW,L0-3,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.290,.409,.699,9,.59,-0.017,.71,-0.01%,-0.23,0.00,0.00,PH
May 3,LAA,BOS,L0-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.237,.288,.402,.691,3,.74,-0.009,.87,-0.01%,-0.15,3.00,3.00,DH
May 4,LAA,BOS,W10-5,CG(10),5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.230,.294,.390,.684,3,1.35,0.060,1.55,0.04%,0.15,6.00,9.20,DH
May 5,LAA,BOS,W8-0,CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.240,.301,.394,.695,3,.95,0.043,1.12,0.03%,1.32,10.00,12.70,DH P
May 6,LAA,WSN,W3-0,CG,4,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,.234,.299,.383,.682,3,.72,-0.042,.80,-0.03%,-0.58,4.00,6.50,DH
May 7,LAA,WSN,L3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.234,.298,.378,.676,3,.89,-0.064,1.04,-0.05%,-0.63,3.00,3.00,DH
May 8,LAA,WSN,W5-4,CG,5,4,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.235,.302,.383,.684,3,1.81,0.457,2.05,0.31%,1.48,13.00,19.20,DH
May 9,LAA,TBR,W11-3,CG,4,4,3,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,.252,.315,.445,.761,3,.55,0.070,.69,0.05%,3.45,39.00,54.10,DH
May 10,LAA,TBR,W12-0,CG,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.319,.452,.770,3,.40,-0.005,.50,0.00%,0.25,10.00,12.20,DH
May 11,LAA,TBR,L2-4,CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.258,.317,.445,.762,3,.98,-0.032,1.24,-0.02%,-0.08,8.00,9.00,DH P
May 13,LAA,OAK,W2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.308,.432,.740,3,.59,-0.058,.75,-0.04%,-0.74,0.00,0.00,DH
May 14 (1),LAA,OAK,L3-4,CG,5,4,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.257,.318,.441,.759,3,1.03,-0.018,1.27,-0.01%,0.17,12.00,15.50,DH
May 14 (2),LAA,OAK,W9-1,CG,5,5,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.255,.314,.454,.768,3,.35,-0.035,.45,-0.03%,-0.10,16.00,22.20,DH
May 15,LAA,OAK,W4-1,CG,4,3,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,1,.264,.325,.479,.804,3,.94,0.175,1.17,0.13%,1.75,21.00,28.20,DH
May 16,LAA,TEX,L4-7,CG,4,4,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,.264,.323,.480,.803,3,.88,0.054,1.09,0.04%,0.73,9.00,12.70,DH
May 17,LAA,TEX,L5-10,GS-9,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.261,.319,.471,.790,3,1.17,-0.138,1.47,-0.10%,-1.02,3.00,3.00,DH
May 18,LAA,TEX,L5-6,CG(10),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.253,.310,.456,.766,3,1.35,-0.194,1.69,-0.15%,-1.68,0.00,0.00,DH P
May 20,LAA,OAK,L2-4,CG,4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,.248,.309,.447,.756,3,.78,-0.055,.96,-0.04%,-0.48,9.00,12.20,DH
May 21,LAA,OAK,W5-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.313,.448,.761,1,.56,0.053,.66,0.04%,0.43,8.00,9.20,DH
May 22,LAA,OAK,W4-1,CG,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.259,.315,.465,.780,1,.62,-0.045,.75,-0.03%,-0.76,17.00,21.70,DH
May 24,LAA,TEX,W5-3,CG,4,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.256,.319,.459,.778,1,.44,-0.007,.55,-0.01%,-0.09,4.00,6.00,DH
May 25,LAA,TEX,L2-7,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.251,.318,.451,.769,1,.81,0.016,1.03,0.01%,-0.08,9.00,12.20,DH
May 26,LAA,TOR,L3-6,GS-8,3,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.249,.318,.446,.764,3,1.24,0.020,1.51,0.02%,0.34,4.00,6.50,DH P
May 27,LAA,TOR,L3-4,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.247,.316,.444,.760,8,1.77,-0.045,2.26,-0.03%,-0.10,0.00,0.00,PH
May 28,LAA,TOR,L5-6,CG,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.242,.313,.434,.747,2,1.30,-0.033,1.58,-0.02%,-0.46,4.00,6.20,DH
May 29,LAA,TOR,L10-11,CG,5,3,2,2,0,0,2,3,1,0,1,1,0,0,0,0,0,0,.249,.325,.470,.796,2,.94,0.298,1.18,0.22%,3.01,34.00,46.90,DH
May 31,LAA,NYY,L1-9,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.324,.471,.795,2,.38,-0.032,.42,-0.02%,-0.96,5.00,6.00,DH
