Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,36,1,Apr 7,LAA,,HOU,L1-3,GS-5,L(0-1),99,4.2,4,1,1,1,9,0,0,1.93,-0.10,19,80,51,19,12,3,6,4,1,0,60,,,0,0,0,18,2,0,0,0,0,0,.89,0.092,.84,0.05%,1.10,23.50,38.00,1t start tie,5t -2- 2 out d1
2,37,7,Apr 14,LAA,@,TEX,L5-10,GS-4,L(0-2),6,3.2,6,6,6,2,5,1,0,7.56,2.39,20,70,42,12,9,6,7,5,0,0,28,,,0,0,0,18,1,0,0,0,0,1,1.08,-0.382,1.04,-0.22%,-3.42,1.45,8.00,1b start a 2,4b -2- 2 out d3
3,38,13,Apr 20,LAA,@,HOU,W6-0,GS-6,W(1-2),5,6.0,1,0,0,1,12,0,0,4.40,1.23,20,81,55,18,17,1,6,1,1,0,81,,,0,0,0,19,0,0,0,0,0,0,.27,0.110,.29,0.07%,2.87,40.30,64.00,1b start a 6,6b 3 out a6
4,39,19,Apr 27,LAA,,CLE,W9-5,GS-5,W(2-2),6,5.0,5,2,2,1,4,1,0,4.19,2.13,21,86,59,18,7,6,10,5,0,0,52,,,0,0,0,20,1,0,0,0,0,0,.82,-0.018,.89,-0.01%,0.42,15.65,27.00,1t start tie,5t 3 out a5
5,40,27,May 5,LAA,@,BOS,W8-0,GS-7,W(3-2),7,7.0,6,0,0,0,11,0,0,3.08,1.56,28,99,81,17,28,7,10,6,0,0,76,,,0,0,0,28,2,0,0,0,0,0,1.14,0.441,1.35,0.31%,3.58,38.15,64.00,1b start tie,7b 3 out a2
6,41,33,May 11,LAA,,TBR,L2-4,GS-6,,5,6.0,2,1,1,2,5,1,0,2.78,2.12,22,92,57,15,12,6,9,2,4,0,67,,,0,0,0,20,0,0,0,0,0,0,.83,0.185,1.05,0.14%,1.90,19.10,34.00,1t start tie,6t 3 out d1
7,42,40,May 18,LAA,@,TEX,L5-6,GS-6,,6,6.0,6,2,2,2,7,0,1,2.82,2.15,26,94,59,12,13,6,10,1,1,0,57,,,0,0,0,23,2,0,0,1,0,0,1.52,0.058,1.91,0.04%,0.84,18.10,37.00,1b start tie,6b 3 out tie
8,43,46,May 26,LAA,,TOR,L3-6,GS-6,L(3-3),7,6.0,6,5,5,1,10,2,0,3.45,2.48,24,93,61,14,15,2,11,3,1,0,49,,,0,1,0,23,1,0,0,0,0,0,.74,-0.228,.90,-0.17%,-2.10,19.30,33.00,1t start tie,6t 3 out d3
9,44,51,Jun 2(1),LAA,@,NYY,L1-6,GS-4,L(3-4),6,3.0,8,4,4,1,2,3,0,3.99,3.32,17,75,51,6,3,5,9,4,1,0,28,,,0,0,0,16,1,0,0,1,0,0,.72,-0.216,.78,-0.14%,-2.55,-2.65,3.00,1b start tie,4b 12- 0 out d3
10,45,59,Jun 9,LAA,,BOS,W5-2,GS-7,W(4-4),6,7.0,4,1,1,2,6,0,0,3.64,3.19,27,100,62,9,18,10,9,3,0,0,69,,,0,0,0,24,2,0,0,0,1,0,1.26,0.224,.82,0.09%,2.38,26.15,46.00,1t start tie,7t 3 out a4
